"Series";"Time";"Value"
"arwiki";"2018-04-29T17:00:00-07:00";null
"arwiki";"2018-04-30T17:00:00-07:00";4
"arwiki";"2018-05-01T17:00:00-07:00";6
"arwiki";"2018-05-02T17:00:00-07:00";4
"arwiki";"2018-05-03T17:00:00-07:00";9
"arwiki";"2018-05-04T17:00:00-07:00";19
"arwiki";"2018-05-05T17:00:00-07:00";null
"arwiki";"2018-05-06T17:00:00-07:00";8
"arwiki";"2018-05-07T17:00:00-07:00";4
"arwiki";"2018-05-08T17:00:00-07:00";2
"arwiki";"2018-05-09T17:00:00-07:00";110
"arwiki";"2018-05-10T17:00:00-07:00";117
"arwiki";"2018-05-11T17:00:00-07:00";142
"arwiki";"2018-05-12T17:00:00-07:00";93
"arwiki";"2018-05-13T17:00:00-07:00";105
"arwiki";"2018-05-14T17:00:00-07:00";98
"arwiki";"2018-05-15T17:00:00-07:00";121
"arwiki";"2018-05-16T17:00:00-07:00";74
"arwiki";"2018-05-17T17:00:00-07:00";88
"arwiki";"2018-05-18T17:00:00-07:00";64
"arwiki";"2018-05-19T17:00:00-07:00";91
"arwiki";"2018-05-20T17:00:00-07:00";86
"arwiki";"2018-05-21T17:00:00-07:00";118
"arwiki";"2018-05-22T17:00:00-07:00";107
"arwiki";"2018-05-23T17:00:00-07:00";69
"arwiki";"2018-05-24T17:00:00-07:00";74
"arwiki";"2018-05-25T17:00:00-07:00";81
"arwiki";"2018-05-26T17:00:00-07:00";95
"arwiki";"2018-05-27T17:00:00-07:00";114
"arwiki";"2018-05-28T17:00:00-07:00";123
"arwiki";"2018-05-29T17:00:00-07:00";204
"arwiki";"2018-05-30T17:00:00-07:00";4,968
"arwiki";"2018-05-31T17:00:00-07:00";739
"arwiki";"2018-06-01T17:00:00-07:00";167
"arwiki";"2018-06-02T17:00:00-07:00";190
"arwiki";"2018-06-03T17:00:00-07:00";140
"arwiki";"2018-06-04T17:00:00-07:00";151
"arwiki";"2018-06-05T17:00:00-07:00";117
"arwiki";"2018-06-06T17:00:00-07:00";170
"arwiki";"2018-06-07T17:00:00-07:00";126
"arwiki";"2018-06-08T17:00:00-07:00";117
"arwiki";"2018-06-09T17:00:00-07:00";182
"arwiki";"2018-06-10T17:00:00-07:00";175
"arwiki";"2018-06-11T17:00:00-07:00";173
"arwiki";"2018-06-12T17:00:00-07:00";184
"arwiki";"2018-06-13T17:00:00-07:00";160
"arwiki";"2018-06-14T17:00:00-07:00";136
"arwiki";"2018-06-15T17:00:00-07:00";117
"arwiki";"2018-06-16T17:00:00-07:00";66
"arwiki";"2018-06-17T17:00:00-07:00";114
"arwiki";"2018-06-18T17:00:00-07:00";123
"arwiki";"2018-06-19T17:00:00-07:00";129
"arwiki";"2018-06-20T17:00:00-07:00";127
"arwiki";"2018-06-21T17:00:00-07:00";130
"arwiki";"2018-06-22T17:00:00-07:00";181
"arwiki";"2018-06-23T17:00:00-07:00";147
"arwiki";"2018-06-24T17:00:00-07:00";160
"arwiki";"2018-06-25T17:00:00-07:00";158
"arwiki";"2018-06-26T17:00:00-07:00";133
"arwiki";"2018-06-27T17:00:00-07:00";169
"arwiki";"2018-06-28T17:00:00-07:00";177
"arwiki";"2018-06-29T17:00:00-07:00";160
"arwiki";"2018-06-30T17:00:00-07:00";120
"arwiki";"2018-07-01T17:00:00-07:00";164
"arwiki";"2018-07-02T17:00:00-07:00";6,326
"arwiki";"2018-07-03T17:00:00-07:00";161
"arwiki";"2018-07-04T17:00:00-07:00";182
"arwiki";"2018-07-05T17:00:00-07:00";125
"arwiki";"2018-07-06T17:00:00-07:00";169
"arwiki";"2018-07-07T17:00:00-07:00";162
"arwiki";"2018-07-08T17:00:00-07:00";163
"arwiki";"2018-07-09T17:00:00-07:00";79
"arwiki";"2018-07-10T17:00:00-07:00";57
"arwiki";"2018-07-11T17:00:00-07:00";58
"arwiki";"2018-07-12T17:00:00-07:00";62
"arwiki";"2018-07-13T17:00:00-07:00";50
"arwiki";"2018-07-14T17:00:00-07:00";65
"arwiki";"2018-07-15T17:00:00-07:00";92
"arwiki";"2018-07-16T17:00:00-07:00";78
"arwiki";"2018-07-17T17:00:00-07:00";81
"arwiki";"2018-07-18T17:00:00-07:00";66
"arwiki";"2018-07-19T17:00:00-07:00";63
"arwiki";"2018-07-20T17:00:00-07:00";84
"arwiki";"2018-07-21T17:00:00-07:00";83
"arwiki";"2018-07-22T17:00:00-07:00";73
"arwiki";"2018-07-23T17:00:00-07:00";73
"arwiki";"2018-07-24T17:00:00-07:00";76
"arwiki";"2018-07-25T17:00:00-07:00";93
"arwiki";"2018-07-26T17:00:00-07:00";97
"arwiki";"2018-07-27T17:00:00-07:00";68
"arwiki";"2018-07-28T17:00:00-07:00";40
"arwiki";"2018-07-29T17:00:00-07:00";75
"arwiki";"2018-07-30T17:00:00-07:00";92
"arwiki";"2018-07-31T17:00:00-07:00";104
"arwiki";"2018-08-01T17:00:00-07:00";102
"arwiki";"2018-08-02T17:00:00-07:00";95
"arwiki";"2018-08-03T17:00:00-07:00";94
"arwiki";"2018-08-04T17:00:00-07:00";89
"arwiki";"2018-08-05T17:00:00-07:00";549
"arwiki";"2018-08-06T17:00:00-07:00";650
"arwiki";"2018-08-07T17:00:00-07:00";617
"arwiki";"2018-08-08T17:00:00-07:00";662
"arwiki";"2018-08-09T17:00:00-07:00";721
"arwiki";"2018-08-10T17:00:00-07:00";653
"arwiki";"2018-08-11T17:00:00-07:00";600
"arwiki";"2018-08-12T17:00:00-07:00";539
"arwiki";"2018-08-13T17:00:00-07:00";8,754
"arwiki";"2018-08-14T17:00:00-07:00";702
"arwiki";"2018-08-15T17:00:00-07:00";788
"arwiki";"2018-08-16T17:00:00-07:00";690
"arwiki";"2018-08-17T17:00:00-07:00";707
"arwiki";"2018-08-18T17:00:00-07:00";1,126
"arwiki";"2018-08-19T17:00:00-07:00";699
"arwiki";"2018-08-20T17:00:00-07:00";580
"arwiki";"2018-08-21T17:00:00-07:00";580
"arwiki";"2018-08-22T17:00:00-07:00";615
"arwiki";"2018-08-23T17:00:00-07:00";1,034
"arwiki";"2018-08-24T17:00:00-07:00";1,683
"arwiki";"2018-08-25T17:00:00-07:00";1,615
"arwiki";"2018-08-26T17:00:00-07:00";2,763
"arwiki";"2018-08-27T17:00:00-07:00";5,442
"arwiki";"2018-08-28T17:00:00-07:00";4,942
"arwiki";"2018-08-29T17:00:00-07:00";4,507
"arwiki";"2018-08-30T17:00:00-07:00";4,836
"arwiki";"2018-08-31T17:00:00-07:00";5,135
"arwiki";"2018-09-01T17:00:00-07:00";4,776
"arwiki";"2018-09-02T17:00:00-07:00";3,175
"arwiki";"2018-09-03T17:00:00-07:00";3,935
"arwiki";"2018-09-04T17:00:00-07:00";3,181
"arwiki";"2018-09-05T17:00:00-07:00";3,169
"arwiki";"2018-09-06T17:00:00-07:00";3,587
"arwiki";"2018-09-07T17:00:00-07:00";3,235
"arwiki";"2018-09-08T17:00:00-07:00";3,057
"arwiki";"2018-09-09T17:00:00-07:00";3,128
"arwiki";"2018-09-10T17:00:00-07:00";1,703
"arwiki";"2018-09-11T17:00:00-07:00";null
"arwiki";"2018-09-12T17:00:00-07:00";null
"arwiki";"2018-09-13T17:00:00-07:00";null
"arwiki";"2018-09-14T17:00:00-07:00";null
"arwiki";"2018-09-15T17:00:00-07:00";null
"arwiki";"2018-09-16T17:00:00-07:00";null
"arwiki";"2018-09-17T17:00:00-07:00";null
"arwiki";"2018-09-18T17:00:00-07:00";null
"arwiki";"2018-09-19T17:00:00-07:00";null
"arwiki";"2018-09-20T17:00:00-07:00";null
"arwiki";"2018-09-21T17:00:00-07:00";null
"arwiki";"2018-09-22T17:00:00-07:00";null
"arwiki";"2018-09-23T17:00:00-07:00";null
"arwiki";"2018-09-24T17:00:00-07:00";null
"arwiki";"2018-09-25T17:00:00-07:00";null
"arwiki";"2018-09-26T17:00:00-07:00";null
"arwiki";"2018-09-27T17:00:00-07:00";null
"arwiki";"2018-09-28T17:00:00-07:00";null
"arwiki";"2018-09-29T17:00:00-07:00";null
"arwiki";"2018-09-30T17:00:00-07:00";null
"arwiki";"2018-10-01T17:00:00-07:00";null
"arwiki";"2018-10-02T17:00:00-07:00";null
"arwiki";"2018-10-03T17:00:00-07:00";null
"arwiki";"2018-10-04T17:00:00-07:00";null
"arwiki";"2018-10-05T17:00:00-07:00";null
"arwiki";"2018-10-06T17:00:00-07:00";null
"arwiki";"2018-10-07T17:00:00-07:00";null
"arwiki";"2018-10-08T17:00:00-07:00";null
"arwiki";"2018-10-09T17:00:00-07:00";null
"arwiki";"2018-10-10T17:00:00-07:00";2,651
"arwiki";"2018-10-11T17:00:00-07:00";8,485
"arwiki";"2018-10-12T17:00:00-07:00";3,697
"arwiki";"2018-10-13T17:00:00-07:00";5,727
"arwiki";"2018-10-14T17:00:00-07:00";7,675
"arwiki";"2018-10-15T17:00:00-07:00";5,875
"arwiki";"2018-10-16T17:00:00-07:00";6,051
"arwiki";"2018-10-17T17:00:00-07:00";6,221
"arwiki";"2018-10-18T17:00:00-07:00";8,147
"arwiki";"2018-10-19T17:00:00-07:00";5,851
"arwiki";"2018-10-20T17:00:00-07:00";5,369
"arwiki";"2018-10-21T17:00:00-07:00";5,168
"arwiki";"2018-10-22T17:00:00-07:00";5,943
"arwiki";"2018-10-23T17:00:00-07:00";5,078
"arwiki";"2018-10-24T17:00:00-07:00";1,018
"arwiki";"2018-10-25T17:00:00-07:00";5,009
"arwiki";"2018-10-26T17:00:00-07:00";3,860
"arwiki";"2018-10-27T17:00:00-07:00";2,693
"arwiki";"2018-10-28T17:00:00-07:00";3,642
"arwiki";"2018-10-29T17:00:00-07:00";3,045
"arwiki";"2018-10-30T17:00:00-07:00";3,720
"arwiki";"2018-10-31T17:00:00-07:00";4,432
"arwiki";"2018-11-01T17:00:00-07:00";4,684
"arwiki";"2018-11-02T17:00:00-07:00";4,490
"arwiki";"2018-11-03T17:00:00-07:00";5,230
"arwiki";"2018-11-04T16:00:00-08:00";1,478
"arwiki";"2018-11-05T16:00:00-08:00";4,580
"arwiki";"2018-11-06T16:00:00-08:00";4,365
"arwiki";"2018-11-07T16:00:00-08:00";4,332
"arwiki";"2018-11-08T16:00:00-08:00";3,076
"arwiki";"2018-11-09T16:00:00-08:00";3,382
"arwiki";"2018-11-10T16:00:00-08:00";3,196
"arwiki";"2018-11-11T16:00:00-08:00";2,566
"arwiki";"2018-11-12T16:00:00-08:00";5,034
"arwiki";"2018-11-13T16:00:00-08:00";5,440
"arwiki";"2018-11-14T16:00:00-08:00";6,833
"arwiki";"2018-11-15T16:00:00-08:00";6,132
"arwiki";"2018-11-16T16:00:00-08:00";4,492
"arwiki";"2018-11-17T16:00:00-08:00";9,532
"arwiki";"2018-11-18T16:00:00-08:00";10,198
"arwiki";"2018-11-19T16:00:00-08:00";32,945
"arwiki";"2018-11-20T16:00:00-08:00";52,102
"arwiki";"2018-11-21T16:00:00-08:00";6,151
"arwiki";"2018-11-22T16:00:00-08:00";7,200
"arwiki";"2018-11-23T16:00:00-08:00";7,727
"arwiki";"2018-11-24T16:00:00-08:00";7,248
"arwiki";"2018-11-25T16:00:00-08:00";6,221
"arwiki";"2018-11-26T16:00:00-08:00";6,952
"arwiki";"2018-11-27T16:00:00-08:00";9,542
"arwiki";"2018-11-28T16:00:00-08:00";3,666
"arwiki";"2018-11-29T16:00:00-08:00";83
"arwiki";"2018-11-30T16:00:00-08:00";74
"arwiki";"2018-12-01T16:00:00-08:00";104
"arwiki";"2018-12-02T16:00:00-08:00";97
"arwiki";"2018-12-03T16:00:00-08:00";77
"arwiki";"2018-12-04T16:00:00-08:00";57
"arwiki";"2018-12-05T16:00:00-08:00";53
"arwiki";"2018-12-06T16:00:00-08:00";103
"arwiki";"2018-12-07T16:00:00-08:00";88
"arwiki";"2018-12-08T16:00:00-08:00";123
"arwiki";"2018-12-09T16:00:00-08:00";90
"arwiki";"2018-12-10T16:00:00-08:00";124
"arwiki";"2018-12-11T16:00:00-08:00";108
"arwiki";"2018-12-12T16:00:00-08:00";111
"arwiki";"2018-12-13T16:00:00-08:00";112
"arwiki";"2018-12-14T16:00:00-08:00";169
"arwiki";"2018-12-15T16:00:00-08:00";181
"arwiki";"2018-12-16T16:00:00-08:00";207
"arwiki";"2018-12-17T16:00:00-08:00";280
"arwiki";"2018-12-18T16:00:00-08:00";174
"arwiki";"2018-12-19T16:00:00-08:00";170
"arwiki";"2018-12-20T16:00:00-08:00";126
"arwiki";"2018-12-21T16:00:00-08:00";139
"arwiki";"2018-12-22T16:00:00-08:00";85
"arwiki";"2018-12-23T16:00:00-08:00";103
"arwiki";"2018-12-24T16:00:00-08:00";122
"arwiki";"2018-12-25T16:00:00-08:00";124
"arwiki";"2018-12-26T16:00:00-08:00";141
"arwiki";"2018-12-27T16:00:00-08:00";134
"arwiki";"2018-12-28T16:00:00-08:00";103
"arwiki";"2018-12-29T16:00:00-08:00";114
"arwiki";"2018-12-30T16:00:00-08:00";105
"arwiki";"2018-12-31T16:00:00-08:00";103
"arwiki";"2019-01-01T16:00:00-08:00";93
"arwiki";"2019-01-02T16:00:00-08:00";106
"arwiki";"2019-01-03T16:00:00-08:00";123
"arwiki";"2019-01-04T16:00:00-08:00";136
"arwiki";"2019-01-05T16:00:00-08:00";126
"arwiki";"2019-01-06T16:00:00-08:00";123
"arwiki";"2019-01-07T16:00:00-08:00";101
"arwiki";"2019-01-08T16:00:00-08:00";131
"arwiki";"2019-01-09T16:00:00-08:00";101
"arwiki";"2019-01-10T16:00:00-08:00";103
"arwiki";"2019-01-11T16:00:00-08:00";94
"arwiki";"2019-01-12T16:00:00-08:00";100
"arwiki";"2019-01-13T16:00:00-08:00";159
"arwiki";"2019-01-14T16:00:00-08:00";238
"arwiki";"2019-01-15T16:00:00-08:00";144
"arwiki";"2019-01-16T16:00:00-08:00";120
"arwiki";"2019-01-17T16:00:00-08:00";130
"arwiki";"2019-01-18T16:00:00-08:00";130
"arwiki";"2019-01-19T16:00:00-08:00";152
"arwiki";"2019-01-20T16:00:00-08:00";127
"arwiki";"2019-01-21T16:00:00-08:00";131
"arwiki";"2019-01-22T16:00:00-08:00";142
"arwiki";"2019-01-23T16:00:00-08:00";123
"arwiki";"2019-01-24T16:00:00-08:00";6,853
"arwiki";"2019-01-25T16:00:00-08:00";125
"arwiki";"2019-01-26T16:00:00-08:00";127
"arwiki";"2019-01-27T16:00:00-08:00";124
"arwiki";"2019-01-28T16:00:00-08:00";111
"arwiki";"2019-01-29T16:00:00-08:00";181
"arwiki";"2019-01-30T16:00:00-08:00";107
"arwiki";"2019-01-31T16:00:00-08:00";104
"arwiki";"2019-02-01T16:00:00-08:00";116
"arwiki";"2019-02-02T16:00:00-08:00";131
"arwiki";"2019-02-03T16:00:00-08:00";181
"arwiki";"2019-02-04T16:00:00-08:00";204
"arwiki";"2019-02-05T16:00:00-08:00";299
"arwiki";"2019-02-06T16:00:00-08:00";115
"arwiki";"2019-02-07T16:00:00-08:00";109
"arwiki";"2019-02-08T16:00:00-08:00";271
"arwiki";"2019-02-09T16:00:00-08:00";309
"arwiki";"2019-02-10T16:00:00-08:00";160
"arwiki";"2019-02-11T16:00:00-08:00";830
"arwiki";"2019-02-12T16:00:00-08:00";118
"arwiki";"2019-02-13T16:00:00-08:00";245
"arwiki";"2019-02-14T16:00:00-08:00";109
"arwiki";"2019-02-15T16:00:00-08:00";355
"arwiki";"2019-02-16T16:00:00-08:00";306
"arwiki";"2019-02-17T16:00:00-08:00";222
"arwiki";"2019-02-18T16:00:00-08:00";282
"arwiki";"2019-02-19T16:00:00-08:00";117
"arwiki";"2019-02-20T16:00:00-08:00";448
"arwiki";"2019-02-21T16:00:00-08:00";131
"arwiki";"2019-02-22T16:00:00-08:00";133
"arwiki";"2019-02-23T16:00:00-08:00";153
"arwiki";"2019-02-24T16:00:00-08:00";257
"arwiki";"2019-02-25T16:00:00-08:00";162
"arwiki";"2019-02-26T16:00:00-08:00";131
"arwiki";"2019-02-27T16:00:00-08:00";205
"arwiki";"2019-02-28T16:00:00-08:00";362
"arwiki";"2019-03-01T16:00:00-08:00";211
"arwiki";"2019-03-02T16:00:00-08:00";342
"arwiki";"2019-03-03T16:00:00-08:00";233
"arwiki";"2019-03-04T16:00:00-08:00";177
"arwiki";"2019-03-05T16:00:00-08:00";200
"arwiki";"2019-03-06T16:00:00-08:00";269
"arwiki";"2019-03-07T16:00:00-08:00";239
"arwiki";"2019-03-08T16:00:00-08:00";296
"arwiki";"2019-03-09T16:00:00-08:00";286
"arwiki";"2019-03-10T17:00:00-07:00";138
"arwiki";"2019-03-11T17:00:00-07:00";121
"arwiki";"2019-03-12T17:00:00-07:00";153
"arwiki";"2019-03-13T17:00:00-07:00";159
"arwiki";"2019-03-14T17:00:00-07:00";352
"arwiki";"2019-03-15T17:00:00-07:00";461
"arwiki";"2019-03-16T17:00:00-07:00";135
"arwiki";"2019-03-17T17:00:00-07:00";664
"arwiki";"2019-03-18T17:00:00-07:00";259
"arwiki";"2019-03-19T17:00:00-07:00";140
"arwiki";"2019-03-20T17:00:00-07:00";1,271
"arwiki";"2019-03-21T17:00:00-07:00";1,803
"arwiki";"2019-03-22T17:00:00-07:00";125
"arwiki";"2019-03-23T17:00:00-07:00";116
"arwiki";"2019-03-24T17:00:00-07:00";104
"arwiki";"2019-03-25T17:00:00-07:00";128
"arwiki";"2019-03-26T17:00:00-07:00";118
"arwiki";"2019-03-27T17:00:00-07:00";205
"arwiki";"2019-03-28T17:00:00-07:00";115
"arwiki";"2019-03-29T17:00:00-07:00";134
"arwiki";"2019-03-30T17:00:00-07:00";169
"arwiki";"2019-03-31T17:00:00-07:00";128
"arwiki";"2019-04-01T17:00:00-07:00";153
"arwiki";"2019-04-02T17:00:00-07:00";129
"arwiki";"2019-04-03T17:00:00-07:00";131
"arwiki";"2019-04-04T17:00:00-07:00";333
"arwiki";"2019-04-05T17:00:00-07:00";129
"arwiki";"2019-04-06T17:00:00-07:00";199
"arwiki";"2019-04-07T17:00:00-07:00";197
"arwiki";"2019-04-08T17:00:00-07:00";111
"arwiki";"2019-04-09T17:00:00-07:00";105
"arwiki";"2019-04-10T17:00:00-07:00";529
"arwiki";"2019-04-11T17:00:00-07:00";227
"arwiki";"2019-04-12T17:00:00-07:00";79
"arwiki";"2019-04-13T17:00:00-07:00";106
"arwiki";"2019-04-14T17:00:00-07:00";134
"arwiki";"2019-04-15T17:00:00-07:00";134
"arwiki";"2019-04-16T17:00:00-07:00";182
"arwiki";"2019-04-17T17:00:00-07:00";355
"arwiki";"2019-04-18T17:00:00-07:00";149
"arwiki";"2019-04-19T17:00:00-07:00";138
"arwiki";"2019-04-20T17:00:00-07:00";126
"arwiki";"2019-04-21T17:00:00-07:00";165
"arwiki";"2019-04-22T17:00:00-07:00";151
"arwiki";"2019-04-23T17:00:00-07:00";171
"arwiki";"2019-04-24T17:00:00-07:00";134
"arwiki";"2019-04-25T17:00:00-07:00";124
"arwiki";"2019-04-26T17:00:00-07:00";140
"arwiki";"2019-04-27T17:00:00-07:00";132
"arwiki";"2019-04-28T17:00:00-07:00";125
"arwiki";"2019-04-29T17:00:00-07:00";145
"arwiki";"2019-04-30T17:00:00-07:00";120
"arwiki";"2019-05-01T17:00:00-07:00";128
"arwiki";"2019-05-02T17:00:00-07:00";144
"arwiki";"2019-05-03T17:00:00-07:00";178
"arwiki";"2019-05-04T17:00:00-07:00";153
"arwiki";"2019-05-05T17:00:00-07:00";1,293
"arwiki";"2019-05-06T17:00:00-07:00";6,197
"arwiki";"2019-05-07T17:00:00-07:00";115
"arwiki";"2019-05-08T17:00:00-07:00";101
"arwiki";"2019-05-09T17:00:00-07:00";108
"arwiki";"2019-05-10T17:00:00-07:00";154
"arwiki";"2019-05-11T17:00:00-07:00";113
"arwiki";"2019-05-12T17:00:00-07:00";561
"arwiki";"2019-05-13T17:00:00-07:00";368
"arwiki";"2019-05-14T17:00:00-07:00";159
"arwiki";"2019-05-15T17:00:00-07:00";5,697
"arwiki";"2019-05-16T17:00:00-07:00";160
"arwiki";"2019-05-17T17:00:00-07:00";132
"arwiki";"2019-05-18T17:00:00-07:00";122
"arwiki";"2019-05-19T17:00:00-07:00";1,892
"arwiki";"2019-05-20T17:00:00-07:00";118
"arwiki";"2019-05-21T17:00:00-07:00";136
"arwiki";"2019-05-22T17:00:00-07:00";147
"arwiki";"2019-05-23T17:00:00-07:00";106
"arwiki";"2019-05-24T17:00:00-07:00";87
"arwiki";"2019-05-25T17:00:00-07:00";83
"arwiki";"2019-05-26T17:00:00-07:00";83
"arwiki";"2019-05-27T17:00:00-07:00";92
"arwiki";"2019-05-28T17:00:00-07:00";276
"arwiki";"2019-05-29T17:00:00-07:00";164
"arwiki";"2019-05-30T17:00:00-07:00";426
"arwiki";"2019-05-31T17:00:00-07:00";440
"arwiki";"2019-06-01T17:00:00-07:00";89
"arwiki";"2019-06-02T17:00:00-07:00";70
"arwiki";"2019-06-03T17:00:00-07:00";116
"arwiki";"2019-06-04T17:00:00-07:00";224
"arwiki";"2019-06-05T17:00:00-07:00";105
"arwiki";"2019-06-06T17:00:00-07:00";132
"arwiki";"2019-06-07T17:00:00-07:00";111
"arwiki";"2019-06-08T17:00:00-07:00";110
"arwiki";"2019-06-09T17:00:00-07:00";156
"arwiki";"2019-06-10T17:00:00-07:00";100
"arwiki";"2019-06-11T17:00:00-07:00";67
"arwiki";"2019-06-12T17:00:00-07:00";73
"arwiki";"2019-06-13T17:00:00-07:00";107
"arwiki";"2019-06-14T17:00:00-07:00";106
"arwiki";"2019-06-15T17:00:00-07:00";90
"arwiki";"2019-06-16T17:00:00-07:00";74
"bswiki";"2018-02-01T16:00:00-08:00";null
"bswiki";"2018-02-02T16:00:00-08:00";null
"bswiki";"2018-02-03T16:00:00-08:00";null
"bswiki";"2018-02-04T16:00:00-08:00";null
"bswiki";"2018-02-05T16:00:00-08:00";null
"bswiki";"2018-02-06T16:00:00-08:00";null
"bswiki";"2018-02-07T16:00:00-08:00";null
"bswiki";"2018-02-08T16:00:00-08:00";null
"bswiki";"2018-02-09T16:00:00-08:00";null
"bswiki";"2018-02-10T16:00:00-08:00";null
"bswiki";"2018-02-11T16:00:00-08:00";null
"bswiki";"2018-02-12T16:00:00-08:00";null
"bswiki";"2018-02-13T16:00:00-08:00";null
"bswiki";"2018-02-14T16:00:00-08:00";null
"bswiki";"2018-02-15T16:00:00-08:00";null
"bswiki";"2018-02-16T16:00:00-08:00";null
"bswiki";"2018-02-17T16:00:00-08:00";null
"bswiki";"2018-02-18T16:00:00-08:00";null
"bswiki";"2018-02-19T16:00:00-08:00";null
"bswiki";"2018-02-20T16:00:00-08:00";null
"bswiki";"2018-02-21T16:00:00-08:00";null
"bswiki";"2018-02-22T16:00:00-08:00";null
"bswiki";"2018-02-23T16:00:00-08:00";null
"bswiki";"2018-02-24T16:00:00-08:00";null
"bswiki";"2018-02-25T16:00:00-08:00";null
"bswiki";"2018-02-26T16:00:00-08:00";null
"bswiki";"2018-02-27T16:00:00-08:00";null
"bswiki";"2018-02-28T16:00:00-08:00";null
"bswiki";"2018-03-01T16:00:00-08:00";null
"bswiki";"2018-03-02T16:00:00-08:00";null
