strata,count,fraction,weight
ptwiki_false_false_true,432320,0.0462620281273131,21.616
etwiki_false_false_true,28803,0.6943721140159012,1.44015
fawiki_true_false_false,18640,1.0,1.0
eswikiquote_true_false_false,106,1.0,1.0
plwiki_true_false_false,21483,0.9309686729041567,1.07415
frwiki_false_false_true,923090,0.02166635972657054,46.1545
sqwiki_true_true_false,14,1.0,1.0
bswiki_false_false_true,1647,1.0,1.0
plwiki_true_false_false_false,24737,0.8085054776246109,1.23685
nlwiki_false_false,8,1.0,1.0
euwiki_false_false_true,6706,1.0,1.0
eswikibooks_false_false_false,7577,1.0,1.0
rowiki_true_false_false,3204,1.0,1.0
srwiki_true_false_true,21904,0.9130752373995618,1.0952
svwiki_true_false_true,41333,0.4838748699586287,2.06665
bswiki_true_false,56,1.0,1.0
svwiki_true_false_false_false,12683,1.0,1.0
eswikiquote_true_false_false_false,173,1.0,1.0
zhwiki_false_false_false,720021,0.027776967616222305,36.00105
zhwiki_false_false,9,1.0,1.0
eswiki_true_false_false_false,163061,0.12265348550542435,8.15305
huwiki_true_false_true,36920,0.5417118093174431,1.846
fawiki_true_false_false_false,47952,0.41708375041708373,2.3976
bswiki_false_true_false,21,1.0,1.0
kowiki_false_false_true,424676,0.04709472633254528,21.233800000000002
sqwiki_true_false_false,1030,1.0,1.0
lvwiki_true_false_true,7455,1.0,1.0
rowiki_false_false,10,1.0,1.0
arwiki_true_false_true,111652,0.17912800487228173,5.5826
trwiki_true_false_true,13637,1.0,1.0
enwiki_true_false_false_false,1318881,0.015164370401878562,65.94405
ruwiki_false_false,50,1.0,1.0
srwiki_true_true_false,75,1.0,1.0
ruwiki_true_false_true,221187,0.09042122728731797,11.05935
euwiki_false_false_false,171552,0.1165827271031524,8.5776
huwiki_false_false_false,685260,0.029186002393252197,34.263
sqwiki_true_false_false_false,1732,1.0,1.0
cswiki_true_false_true,29300,0.6825938566552902,1.4649999999999999
lvwiki_true_true_false,111,1.0,1.0
fiwiki_true_true_false_false,168,1.0,1.0
trwiki_true_false_false_false,8000,1.0,1.0
sqwiki_true_true_false_false,4,1.0,1.0
itwiki_false_false_false,2170271,0.009215438993563477,108.51355
testwiki_true_true_false,6,1.0,1.0
eswiki_false_true_false,77795,0.25708593097242755,3.88975
arwiki_true_true_false,259,1.0,1.0
etwiki_true_false_false,1707,1.0,1.0
nlwiki_false_false_true,175643,0.11386733317012349,8.78215
test2wiki_true_false_false_false,12,1.0,1.0
rowiki_true_false_true,17695,1.0,1.0
srwiki_true_false_false_false,8698,1.0,1.0
testwiki_false_true_false,5,1.0,1.0
sqwiki_false_false_false,54612,0.36621987841500037,2.7306
frwiki_false_true_false,266519,0.07504155426067184,13.32595
eswiki_true_true_false_false,1901,1.0,1.0
ruwiki_false_false_true,701035,0.02852924604335019,35.05175
cswiki_false_false,13,1.0,1.0
ptwiki_false_false_false,1300643,0.015377009679058742,65.03215
kowiki_true_false_false_false,18030,1.0,1.0
ptwiki_false_true_false,16907,1.0,1.0
itwiki_true_false,41,1.0,1.0
testwiki_false_false_false,3139,1.0,1.0
frwiki_false_false_false,5204945,0.0038424997766547003,260.24725
trwiki_true_true_false,160,1.0,1.0
wikidatawiki_false_false,24,1.0,1.0
testwiki_false_false_true,540,1.0,1.0
rowiki_false_false_true,34401,0.5813784483009214,1.72005
cswiki_true_true_false,471,1.0,1.0
kowiki_true_true_false,63,1.0,1.0
ptwiki_true_false_false,27966,0.7151541157119359,1.3983
nlwiki_true_false_true,116565,0.17157808947797365,5.828250000000001
itwiki_true_false_true,304650,0.06564910553093714,15.2325
ptwiki_true_false_true,206716,0.09675109812496371,10.3358
svwiki_false_false_true,99312,0.20138553246334784,4.9656
fawiki_false_false_false,580142,0.034474318356540294,29.0071
rowiki_true_false,20,1.0,1.0
mediawikiwiki_false_true_false,72,1.0,1.0
lvwiki_true_false_false,474,1.0,1.0
ruwiki_true_true_false,1508,1.0,1.0
lvwiki_false_false_true,8210,1.0,1.0
nlwiki_true_false_false_false,26858,0.7446570854121677,1.3429
bswiki_true_false_false_false,696,1.0,1.0
bswiki_true_false_false,388,1.0,1.0
svwiki_false_false,118,1.0,1.0
srwiki_false_false,11,1.0,1.0
eswikibooks_false_false_true,1007,1.0,1.0
frwiki_true_true_false_false,3465,1.0,1.0
fawiki_false_false_true,69282,0.2886752691896885,3.4641
plwiki_true_true_false_false,97,1.0,1.0
nlwiki_false_true_false,9938,1.0,1.0
sqwiki_false_true_false,113,1.0,1.0
etwiki_true_true_false,2,1.0,1.0
svwiki_false_false_false,796876,0.025098007720147173,39.8438
test2wiki_true_false_true,5,1.0,1.0
ptwiki_true_false_false_false,56070,0.35669698591046906,2.8035
mediawikiwiki_true_false_true,2052,1.0,1.0
srwiki_true_true_false_false,70,1.0,1.0
enwiki_true_true_false_false,14382,1.0,1.0
arwiki_false_false,18,1.0,1.0
rowiki_true_true_false_false,200,1.0,1.0
zhwiki_true_false_false_false,15417,1.0,1.0
itwiki_true_false_false_false,59139,0.3381863068364362,2.95695
fawiki_true_true_false,1349,1.0,1.0
test2wiki_true_false_false,43,1.0,1.0
wikidatawiki_true_false_false,402721,0.04966217306770692,20.13605
srwiki_true_false,34,1.0,1.0
wikidatawiki_false_false_true,532325,0.03757103273376227,26.61625
ruwiki_false_true_false,49067,0.40760592659017264,2.45335
etwiki_true_false_true,5341,1.0,1.0
huwiki_true_true_false,95,1.0,1.0
euwiki_true_false_false_false,621,1.0,1.0
bswiki_false_false,14,1.0,1.0
lvwiki_false_true_false,5070,1.0,1.0
enwiki_true_false,856,1.0,1.0
eswiki_true_false_true,904443,0.022113057428715794,45.22215
eswikiquote_false_false_true,541,1.0,1.0
mediawikiwiki_true_true_false_false,1,1.0,1.0
kowiki_true_false_true,70313,0.28444242174277873,3.51565
fiwiki_false_false_true,83764,0.23876605701733442,4.1882
srwiki_false_true_false,6645,1.0,1.0
huwiki_false_true_false,4122,1.0,1.0
enwiki_true_true_false,12442,1.0,1.0
frwiki_true_false,44,1.0,1.0
enwiki_true_false_true,2858624,0.0069963730801952265,142.93120000000002
svwiki_true_true_false,70,1.0,1.0
testwiki_false_false,15,1.0,1.0
cswiki_false_false_false,518151,0.038598786840129615,25.90755
hewiki_false_false_true,106925,0.18704699555763385,5.34625
zhwiki_true_false,31,1.0,1.0
itwiki_false_false_true,907769,0.022032036784688614,45.388450000000006
arwiki_true_false_false_false,71491,0.2797554936985075,3.57455
wikidatawiki_true_false_false_false,195846,0.10212105429776457,9.792300000000001
cswiki_true_false_false_false,8139,1.0,1.0
trwiki_false_false_true,26700,0.7490636704119851,1.335
ptwiki_true_false,70,1.0,1.0
arwiki_false_false_true,49466,0.4043181174948449,2.4733
